,author_id,author_nickname,author_signature,author_uniqueId,desc,music_album,music_authorName,authorStats_followerCount,authorStats_followingCount,authorStats_heart,authorStats_videoCount,stats_commentCount,stats_playCount,statsV2_commentCount,statsV2_diggCount,statsV2_playCount
0,6997795733713945606,KysgoInmobiliaria,"Somos cómplices en la búsqueda de tu inmueble ideal
📍Piura-Perú🇵🇪
📲960728349",kysgoinmobiliaria,Respuesta a @Josué López Donayre ¿Qué te pareció el precio? ¿Lo comprarías? 🥳 #inmobiliaria #realestate #bienesraices #venta #inmuebles #parati #foryoupage #home #inversion #casas ,As It Was,Harry Styles,666900,0,7500000,76,21800,31600000,21816,2696556,31572181
1,6997795733713945606,KysgoInmobiliaria,"Somos cómplices en la búsqueda de tu inmueble ideal
📍Piura-Perú🇵🇪
📲960728349",kysgoinmobiliaria,Respuesta a @Nay😽 ¿Qué les parecio esta hermosa casa con piscina? ¿Les gusto? 😊 #realestate #bienesraices #inmobiliaria #piura #peru #venta #inmuebles #inversion #casa #parati #home #piscina ,STAY,The Kid LAROI & Justin Bieber,666900,0,7500000,76,8038,11400000,8038,944605,11444578
2,6997795733713945606,KysgoInmobiliaria,"Somos cómplices en la búsqueda de tu inmueble ideal
📍Piura-Perú🇵🇪
📲960728349",kysgoinmobiliaria,¿Desde dónde nos escribes?🥰 #inmobiliaria #realestate #bienesraices #venta #inmuebles #parati #peru #piura #home #foryoupage #inversion #casas ,STAY,The Kid LAROI & Justin Bieber,666900,0,7500000,76,13800,25900000,13777,801340,25925261
3,6780406664590296069,Xitlali Pasten,"Mexicana 🇲🇽
Te comparto educación financiera a través de mi historia ⭐️",xitlalipasten,Parte 2 en comentarios 🙌🏻 #emprendimiento #negocios #restaurante #rentadepropiedades #inmuebles #manualidades #ventaderopa #uberdriver ,,Xitlali Pasten,224000,276,2500000,168,10900,31600000,10917,767130,31641992
4,6799819711283807238,SANTIRUBIOV,"📍 GDL 
The Main Broker. ✔️🏢
Nos vemos en insta 
@santirubiov",santiagorubiov,Sell me this pen. 🖊️  #realestate #ventas #marcapersonal #bienesraices #bienesraicesmexico #propiedades #inmuebles #fyp #mx #sellmethispen ,Hier Encore Sad Vibes Trap,Novia Nisa,42500,100,800900,53,1889,11600000,1889,764236,11606552
5,6882824723009684486,Arturo Méndez Bienes Raíces,"Arturo Méndez experto inmobiliario 
Lujo y Super Lujo 📍MTY
C. 81 3629 1959",arturo.bienes.raices,¿Cuánto Vale esta casa de Lujo en Monterrey? 📍#property #bienesraices #monterrey #inmobiliaria #realestateagent #asesorinmobiliario #inmuebles #asesorinmobiliario #bienesraicesmexico #casa #recorrido #tour #housetour #casasmodernas #spgg #realestate #cuantovale #cuantocuesta #propiedades,Un Verano Sin Ti,Bad Bunny,508400,105,8400000,94,30700,20300000,30745,1342414,20293012
6,259644148415254528,Sebastian Vázquez,"Bienes raíces 🏡
ig:sebastianvqzz
Click info de cursos👇🏻
+52 4493915814",sebasbienesraices,📍TAHONA📍 QUE TENDRÍA SI CASA IDEAL?? 🤔 #bienesraices #inmobiliaria #realstate #foryoupage #grupoalcasia #inmuebles,,Ian Bennett,234100,1033,3900000,92,3209,3800000,3209,472440,3765217
7,6997795733713945606,KysgoInmobiliaria,"Somos cómplices en la búsqueda de tu inmueble ideal
📍Piura-Perú🇵🇪
📲960728349",kysgoinmobiliaria,¿Te animarias a pagar tu propia casa? No lo dudes mas 😏❤️ #realestate #bienesraices #inmobiliaria #piura #peru #venta #inmuebles #inversion #casa #parati #home #piscina ,The Beginning: Cupid,FIFTY FIFTY,666900,0,7500000,76,8027,9600000,8027,472313,9568438
8,6997795733713945606,KysgoInmobiliaria,"Somos cómplices en la búsqueda de tu inmueble ideal
📍Piura-Perú🇵🇪
📲960728349",kysgoinmobiliaria,Somos los cómplices en la búsqueda de tu casa ideal✨🥰 #inmobiliaria #realestate #bienesraices #venta #inmuebles #casa #parati #foryoupage #home ,Dance Party Mix Music,Mix Electronic,666900,0,7500000,76,4274,5600000,4274,409349,5647288
9,6997795733713945606,KysgoInmobiliaria,"Somos cómplices en la búsqueda de tu inmueble ideal
📍Piura-Perú🇵🇪
📲960728349",kysgoinmobiliaria,¿Qué te pareció esta casa? ¿Lo comprarías?🥰 #inmobiliaria #realestate #bienesraices #venta #inmuebles #casa #parati #peru #piura #home #foryoupage #inversion ,As It Was,Harry Styles,666900,0,7500000,76,2488,4800000,2488,375289,4826128
10,6997795733713945606,KysgoInmobiliaria,"Somos cómplices en la búsqueda de tu inmueble ideal
📍Piura-Perú🇵🇪
📲960728349",kysgoinmobiliaria,No busques más!! Escribenos ❤️ #realestate #bienesraices #inmobiliaria #piura #peru #venta #parati #inmuebles #inversion #casa #home #capcut ,真实,硬曲Music,666900,0,7500000,76,3316,4900000,3316,330196,4873313
11,6997795733713945606,KysgoInmobiliaria,"Somos cómplices en la búsqueda de tu inmueble ideal
📍Piura-Perú🇵🇪
📲960728349",kysgoinmobiliaria,Coméntanos ¿Qué te parecio esta casa? #inmobiliaria #realestate #bienesraices #ventas #inmuebles #parati #peru #piura #casa #home #inversion ,STAY,The Kid LAROI & Justin Bieber,666900,0,7500000,76,2885,4700000,2885,305500,4724822
12,6997795733713945606,KysgoInmobiliaria,"Somos cómplices en la búsqueda de tu inmueble ideal
📍Piura-Perú🇵🇪
📲960728349",kysgoinmobiliaria,¿Te animarías a vivir aqui? #inmobiliaria #realestate #bienesraices #venta #inmuebles #casa #parati #home #forypupage #inversion ,Takin' It Back,Meghan Trainor,666900,0,7500000,76,4957,9100000,4957,305711,9106926
13,7187937759679513606,Agente.Loany,"Casas en Ecuador 🇪🇨 
Escríbeme a WhatsApp👇🏻
099 6770 191",agente.loany.sd,Esta hermosa casa a un precio de remate 😍 #n #arquitectura #hogar #realestate #venta #inmuebles #home #casa #decoracion ,重要的人要放在心里,阿吉野马,153600,249,1900000,118,7415,7100000,7415,292264,7059541
14,6997795733713945606,KysgoInmobiliaria,"Somos cómplices en la búsqueda de tu inmueble ideal
📍Piura-Perú🇵🇪
📲960728349",kysgoinmobiliaria,Respuesta a @Mariselis Reynoso Es Que ese sueño se haga realidad 🥳🥰 #casa #realestate #bienesraices #inmobiliaria #peru #venta #parati #inmuebles #inversion ,As It Was,Harry Styles,666900,0,7500000,76,3741,5200000,3741,287732,5209750
15,6840830394742457350,Sergio Puente,"CONSTRUYENDO TU FUTURO FINANCIERO
🇲🇽 🔜 𝗔𝗚𝗘𝗡𝗗𝗔 𝗧𝗨 𝗖𝗜𝗧𝗔👇💵",spuentecoach,HERENCIA #rendimiento #herencia #intereses #patrimonio #finanzaspersonales    #casas #inmuebles #dinero #renta #compra #venta #inversiones #inversion #invertir #hijos #padres #familia,Money,Shaq Rayes,257700,157,1400000,939,3822,2800000,3822,269984,2834857
16,7087063872566395910,Elihu | Asesor inmobiliario,"✨Elihu Morales✨Asesor inmobiliario 🏘️
📱 +52 228 501 9825
📍Xalapa, Ver.",tuasesorinmobiliariomx,Acabados por terminar 👀.                  Más información al 2281040678 #tuasesorinmobiliario #casaenventa #viviendasegura #xalapa #xalapaveracruz #xalapaveracruzmexico🇲🇽 #casaenventaxalapa #hogarenventa #inmuebles #bienesraices #realestate #propiedadenventa #oportunidadinmobiliaria ,It Started With Doo Wop,Thurston Harris & the Sharps,21500,123,866800,42,1605,3900000,1605,268088,3879577
17,7087063872566395910,Elihu | Asesor inmobiliario,"✨Elihu Morales✨Asesor inmobiliario 🏘️
📱 +52 228 501 9825
📍Xalapa, Ver.",tuasesorinmobiliariomx,Más información al 2281040678 #tuasesorinmobiliario #casaenventa #viviendasegura #xalapa #xalapaveracruz #casaenventaxalapa #hogarenventa #inmuebles #bienesraices #realestate #propiedadenventa #oportunidadinmobiliaria ,Sunshine,WIRA,21500,123,866800,42,1719,3700000,1719,257081,3712787
18,6961480166401541125,Bienesraicesmexico,"Venta , Compra , Renta de Inmuebles , 𝑖𝑛𝑓𝑜𝑟𝑚𝑎𝑐𝑖𝑜́𝑛 
👇🏼ᴡʜᴀᴛsᴀᴘᴘ👇🏼",bienesraicesmexico,#inmuebles #bienesraices #ojodeagua #tecamac #🏠 #realestatehacks #casasenventa #bienesraicesmexico #ventadecasas #realestate #realestateagent #fypシ,,BiologiaDesdeCero,62900,63,665300,234,1578,3900000,1578,254315,3888195
19,7005687794527093766,MueblesIndustrial,"Aprende Carpintería y Muebles Melamina😃
👇🏼Info de Nuestro Curso Online👇🏼",mueblesindustrial,#trucos #muebles #madera #inmuebles #carpinteria #fypシ,,MueblesIndustrial,41100,70,290600,150,370,3100000,370,241511,3107116
20,7187937759679513606,Agente.Loany,"Casas en Ecuador 🇪🇨 
Escríbeme a WhatsApp👇🏻
099 6770 191",agente.loany.sd,Por fin una de las casas más solicitadas 🙌🏻 #n #arquitectura #hogar #realestate #venta #inmuebles #home #decoracion #casa,Moonlight,Villano,153600,249,1900000,118,1739,9000000,1739,250040,9043360
21,6843570452327285765,Safe Toc Bienes Raíces 🇲🇽,Te enseño sobre Bienes Raíces 🏡🇲🇽,safetoc,¿Con quién comprarías uno? #badbunny🐰 #badbunnyconcert #estadioazteca #inmuebles #asesorainmobiliaria,Yonaguni,Bad Bunny,194600,86,4300000,332,5974,5500000,5974,236821,5509596
22,6710314668831900678,GET HOUSE PERÚ,"Somos de *PIURA* 📲 965038266 😉
Sigue nuestras redes como  GET HOUSE PERU",gethouseperu,"Mira lo que puedes comprar con 169 mil dólares, una hermosa casa de estreno. #home #casasenventa #realstate #bienesraices #inmuebles #inmobiliaria #inversión #Miraflores ",FIRST LOVE,Oscar Ortiz & Edgardo Nuñez,155800,585,892600,195,7692,8400000,7692,237694,8394547
