author_id,author_nickname,author_signature,author_uniqueId,desc,music_album,music_authorName,authorStats_followerCount,authorStats_followingCount,authorStats_heart,authorStats_videoCount,stats_commentCount,stats_playCount,statsV2_commentCount,statsV2_diggCount,statsV2_playCount
6997795733713945606,KysgoInmobiliaria,"Somos cómplices en la búsqueda de tu inmueble ideal
📍Piura-Perú🇵🇪
📲960728349",kysgoinmobiliaria,Respuesta a @Josué López Donayre ¿Qué te pareció el precio? ¿Lo comprarías? 🥳 #inmobiliaria #realestate #bienesraices #venta #inmuebles #parati #foryoupage #home #inversion #casas ,As It Was,Harry Styles,666700,0,7500000,76,21800,31600000,21816,2696646,31572666
6997795733713945606,KysgoInmobiliaria,"Somos cómplices en la búsqueda de tu inmueble ideal
📍Piura-Perú🇵🇪
📲960728349",kysgoinmobiliaria,Respuesta a @Nay😽 ¿Qué les parecio esta hermosa casa con piscina? ¿Les gusto? 😊 #realestate #bienesraices #inmobiliaria #piura #peru #venta #inmuebles #inversion #casa #parati #home #piscina ,STAY,The Kid LAROI & Justin Bieber,666700,0,7500000,76,8037,11400000,8037,944622,11445274
6997795733713945606,KysgoInmobiliaria,"Somos cómplices en la búsqueda de tu inmueble ideal
📍Piura-Perú🇵🇪
📲960728349",kysgoinmobiliaria,¿Desde dónde nos escribes?🥰 #inmobiliaria #realestate #bienesraices #venta #inmuebles #parati #peru #piura #home #foryoupage #inversion #casas ,STAY,The Kid LAROI & Justin Bieber,666700,0,7500000,76,13800,25900000,13770,801530,25928432
6780406664590296069,Xitlali Pasten,"Mexicana 🇲🇽
Te comparto educación financiera a través de mi historia ⭐️",xitlalipasten,Parte 2 en comentarios 🙌🏻 #emprendimiento #negocios #restaurante #rentadepropiedades #inmuebles #manualidades #ventaderopa #uberdriver ,,Xitlali Pasten,224000,276,2500000,168,10900,31600000,10917,767098,31642556
6799819711283807238,SANTIRUBIOV,"📍 GDL 
The Main Broker. ✔️🏢
Nos vemos en insta 
@santirubiov",santiagorubiov,Sell me this pen. 🖊️  #realestate #ventas #marcapersonal #bienesraices #bienesraicesmexico #propiedades #inmuebles #fyp #mx #sellmethispen ,Hier Encore Sad Vibes Trap,Novia Nisa,42600,100,801600,53,1892,11600000,1892,764848,11626758
6882824723009684486,Arturo Méndez Bienes Raíces,"Arturo Méndez experto inmobiliario 
Lujo y Super Lujo 📍MTY
C. 81 3629 1959",arturo.bienes.raices,¿Cuánto Vale esta casa de Lujo en Monterrey? 📍#property #bienesraices #monterrey #inmobiliaria #realestateagent #asesorinmobiliario #inmuebles #asesorinmobiliario #bienesraicesmexico #casa #recorrido #tour #housetour #casasmodernas #spgg #realestate #cuantovale #cuantocuesta #propiedades,Un Verano Sin Ti,Bad Bunny,508300,105,8400000,94,30700,20300000,30743,1342396,20293194
259644148415254528,Sebastian Vázquez,"Bienes raíces 🏡
ig:sebastianvqzz
Click info de cursos👇🏻
+52 4493915814",sebasbienesraices,📍TAHONA📍 QUE TENDRÍA SI CASA IDEAL?? 🤔 #bienesraices #inmobiliaria #realstate #foryoupage #grupoalcasia #inmuebles,,Ian Bennett,234000,1035,3900000,92,3209,3800000,3209,472439,3765237
6997795733713945606,KysgoInmobiliaria,"Somos cómplices en la búsqueda de tu inmueble ideal
📍Piura-Perú🇵🇪
📲960728349",kysgoinmobiliaria,¿Te animarias a pagar tu propia casa? No lo dudes mas 😏❤️ #realestate #bienesraices #inmobiliaria #piura #peru #venta #inmuebles #inversion #casa #parati #home #piscina ,The Beginning: Cupid,FIFTY FIFTY,666700,0,7500000,76,8026,9600000,8026,472307,9568738
6997795733713945606,KysgoInmobiliaria,"Somos cómplices en la búsqueda de tu inmueble ideal
📍Piura-Perú🇵🇪
📲960728349",kysgoinmobiliaria,Somos los cómplices en la búsqueda de tu casa ideal✨🥰 #inmobiliaria #realestate #bienesraices #venta #inmuebles #casa #parati #foryoupage #home ,Dance Party Mix Music,Mix Electronic,666700,0,7500000,76,4274,5600000,4274,409342,5647380
6997795733713945606,KysgoInmobiliaria,"Somos cómplices en la búsqueda de tu inmueble ideal
📍Piura-Perú🇵🇪
📲960728349",kysgoinmobiliaria,¿Qué te pareció esta casa? ¿Lo comprarías?🥰 #inmobiliaria #realestate #bienesraices #venta #inmuebles #casa #parati #peru #piura #home #foryoupage #inversion ,As It Was,Harry Styles,666700,0,7500000,76,2488,4800000,2488,375437,4826465
6997795733713945606,KysgoInmobiliaria,"Somos cómplices en la búsqueda de tu inmueble ideal
📍Piura-Perú🇵🇪
📲960728349",kysgoinmobiliaria,No busques más!! Escribenos ❤️ #realestate #bienesraices #inmobiliaria #piura #peru #venta #parati #inmuebles #inversion #casa #home #capcut ,真实,硬曲Music,666700,0,7500000,76,3316,4900000,3316,330192,4873420
6997795733713945606,KysgoInmobiliaria,"Somos cómplices en la búsqueda de tu inmueble ideal
📍Piura-Perú🇵🇪
📲960728349",kysgoinmobiliaria,Coméntanos ¿Qué te parecio esta casa? #inmobiliaria #realestate #bienesraices #ventas #inmuebles #parati #peru #piura #casa #home #inversion ,STAY,The Kid LAROI & Justin Bieber,666700,0,7500000,76,2885,4700000,2885,305627,4725502
